fqdn,recordType
ksu.edu,TXT
ksu.edu,SPF
ksu.edu,LOC
failspf.ksu.edu,TXT
A287EC17822DDDCEB32E12847C72D5AF.ksu.edu,A
58795AB4B9C3929A9091FA08D9709295.ksu.edu,A
FD3C43700A87782C8E70D2F4DCF5DB6F.ksu.edu,A
_nfsv4idmapdomain.ksu.edu,TXT
listserv._domainkey.ksu.edu,TXT
pmta._domainkey.ksu.edu,TXT
selector1._domainkey.ksu.edu,A
selector2._domainkey.ksu.edu,A
collegenet._domainkey.ksu.edu,TXT
jabber.ksu.edu,A
_xmpp-client._tcp.ksu.edu,SRV
localhost.ksu.edu,A
ns.ksu.edu,A
ns-1.ksu.edu,A
ns-1-tmp.ksu.edu,A
ns-2.ksu.edu,A
ns-2-tmp.ksu.edu,A
ns-3.ksu.edu,A
ns-3-tmp.ksu.edu,A
ns-4.ksu.edu,A
ns-5.ksu.edu,A
ns-6.ksu.edu,A
dns-1.ksu.edu,A
dns-2.ksu.edu,A
dns-3.ksu.edu,A
dns-backup.ksu.edu,A
dns-4.ksu.edu,A
dns-5.ksu.edu,A
dns-6.ksu.edu,A
ping.ksu.edu,A
dnstest1.ksu.edu,A
dnstest2.ksu.edu,A
autodiscover.ksu.edu,A
sip.ksu.edu,A
lyncdiscover.ksu.edu,A
_sip._tls.ksu.edu,SRV
_sipfederationtls._tcp.ksu.edu,SRV
engineeringday.ksu.edu,A
discourse.ksu.edu,A
git.ksu.edu,A
registry.git.ksu.edu,A
www.360.ksu.edu,A
static.ksu.edu,A
www.ksu.edu,A
www-old.ksu.edu,A
www-personal.ksu.edu,A
www-proxy.ksu.edu,A
www-proxy-1.ksu.edu,A
www-proxy-2.ksu.edu,A
apps.ksu.edu,A
calendar.ksu.edu,A
calendar-test.ksu.edu,A
http-test.ksu.edu,A
www-test.ksu.edu,A
courses-test.ksu.edu,A
www-dev.ksu.edu,A
sni-test.ksu.edu,A
www.sni-test.ksu.edu,A
accc.ksu.edu,A
www.accc.ksu.edu,A
achieve.ksu.edu,A
2plus2.ksu.edu,A
www.2plus2.ksu.edu,A
advance.ksu.edu,A
webdev.advance.ksu.edu,A
www.advance.ksu.edu,A
agileapps.ksu.edu,A
www.agileapps.ksu.edu,A
antivirus.ksu.edu,A
www.antivirus.ksu.edu,A
apply.ksu.edu,A
www.apply.ksu.edu,A
backup.ksu.edu,A
barfblog.ksu.edu,A
www.barfblog.ksu.edu,A
beach.ksu.edu,A
webdev.beach.ksu.edu,A
www.beach.ksu.edu,A
biodis.ksu.edu,A
www.biodis.ksu.edu,A
bites.ksu.edu,A
www.bites.ksu.edu,A
bluestemecotype.ksu.edu,A
www.bluestemecotype.ksu.edu,A
bulksolids.ksu.edu,A
www.bulksolids.ksu.edu,A
bulk-solids.ksu.edu,A
www.bulk-solids.ksu.edu,A
cancer.ksu.edu,A
webdev.cancer.ksu.edu,A
www.cancer.ksu.edu,A
catalog.ksu.edu,A
m.catalog.ksu.edu,A
mobilecatalog.ksu.edu,A
www.catalog.ksu.edu,A
www.m.catalog.ksu.edu,A
www.mobilecatalog.ksu.edu,A
catnet.ksu.edu,A
video.ksu.edu,A
www.video.ksu.edu,A
mediasite.ksu.edu,A
video.mediasite.ksu.edu,A
redirect.mediasite.ksu.edu,A
chats.ksu.edu,A
webdev.chats.ksu.edu,A
cisa.ksu.edu,A
www.cisa.ksu.edu,A
climate.ksu.edu,A
www.climate.ksu.edu,A
secondary.climate.ksu.edu,A
offsite.climate.ksu.edu,A
